name,location,cuisines,rate,approx_cost(for two people)
Udupi Upachar,Banashankari,"South Indian, North Indian",3.4/5,500
More Pizza,JP Nagar,Pizza,3.8/5,450
Foreign CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Koramangala 7th Block,Continental,3.8/5,500
Baskin Robbins,Jayanagar,"Ice Cream, Desserts",3.6/5,250
The Shawarma Inc,Koramangala 5th Block,"Arabian, Fast Food",3.3/5,200
1000 B.C,Koramangala 5th Block,"Arabian, Sandwich, Rolls, Burger",3.2/5,300
Mane Holige,Jayanagar,"Mithai, South Indian",4.3/5,200
YORK St.,Koramangala 5th Block,"Cafe, European, Continental",4.4/5,900
Ulavacharu,Koramangala 5th Block,"Andhra, North Indian, Chinese",NEW,900
Burrito Boys,Bannerghatta Road,"Mexican, Tex-Mex",3.0/5,400
Magic Meals,Jayanagar,"Fast Food, Desserts, Beverages",3.7/5,400
Cafe Shuffle,Banashankari,"Cafe, Italian, Continental",4.2/5,600
Tandoori Knight,Banashankari,"North Indian, Chinese, Biryani, Kebab",3.0/5,450
The Coastal Crew by Fujian on 24th,JP Nagar,"Chinese, Thai, Seafood, North Indian, Momos",4.2/5,"1,100"
Shreyas Upahar & Burger Point,Basavanagudi,"South Indian, Burger",3.1/5,200
The little Kitchen,JP Nagar,"Chinese, North Indian",3.4/5,300
Peace Restaurant,Koramangala 5th Block,"Chinese, Tibetan",3.8/5,500
The Cake Lair,BTM,"Bakery, Fast Food, Beverages",3.4/5,600
Bubblewrap Waffle Co.,Jayanagar,"Desserts, Beverages",4.4/5,400
Cafe Graffiters,Koramangala 5th Block,"Cafe, Continental, Beverages",3.8/5,600
Waffle Stories,Jayanagar,"Desserts, Beverages",4.2/5,300
Grillopia,BTM,"Italian, American, Fast Food, Wraps, Rolls, Salad",3.9/5,"1,000"
Bottle Genie,BTM,Beverages,,350
Two Friends Cauldron,JP Nagar,"Continental, Italian, American",4.1/5,700
Cross Road Cafe,Jayanagar,"Cafe, Fast Food, Chinese",3.9/5,300
Kalpavruksha,Bannerghatta Road,"South Indian, North Indian",3.9/5,300
Lazeez,Koramangala 5th Block,"North Indian, Mughlai, Biryani",3.2/5,600
Falooda Cafe,BTM,"Beverages, Desserts",NEW,200
Sri Krishna Kitchen,BTM,Fast Food,3.6/5,400
Domino's Pizza,BTM,"Pizza, Fast Food",3.7/5,400
SLV Ragigudda,Jayanagar,"South Indian, North Indian, Chinese",NEW,400
Coffee Tea & More,Koramangala 5th Block,"Beverages, Sandwich",4.0/5,150
Shaap,Koramangala 5th Block,"Kerala, Seafood",3.6/5,500
Crumb Together,JP Nagar,"Continental, Finger Food, North Indian, Chinese",4.1/5,"1,200"
Sangam Sweets,Koramangala 3rd Block,"Mithai, Street Food",3.8/5,200
What's In A Name,Koramangala 5th Block,"Finger Food, Asian, European, Italian",4.1/5,"1,200"
Kolkata King,Basavanagudi,"Fast Food, Rolls",3.4/5,300
North Rasoe,Kumaraswamy Layout,"North Indian, Chinese",3.1/5,300
RK Fresh Food,BTM,Fast Food,3.5/5,300
Ruchi's Corner,Banashankari,Fast Food,2.7/5,200
Sri Sapana Dhaba,BTM,North Indian,3.4/5,250
Naati Manae,JP Nagar,"South Indian, Biryani",3.1/5,500
Hotel Empark,Wilson Garden,"Chinese, North Indian, Arabian",3.4/5,800
Mr. Meetharam,JP Nagar,"Mithai, Street Food",3.2/5,150
Hunger Hitman,Koramangala,"North Indian, Chinese",3.8/5,300
Krishna Vaibhava,BTM,"North Indian, South Indian",3.5/5,350
The Chocolate Room,JP Nagar,"Cafe, Desserts",3.9/5,400
Hari Super Sandwich,Jayanagar,"Fast Food, Street Food",4.4/5,200
Navami,Jayanagar,"Andhra, North Indian, Chinese, Mangalorean, Seafood, Biryani",3.5/5,750
Speedbreaker,BTM,North Indian,3.4/5,300
Nadan Thattukada,BTM,Kerala,3.7/5,200
Smokey Tribe Restaurant,Koramangala 7th Block,"North Eastern, Chinese",3.8/5,650
Ibaco,Banashankari,Desserts,4.0/5,300
Shringar Sweets & Snacks,Basavanagudi,"Mithai, South Indian, Street Food, Fast Food",3.5/5,200
Utsav Restaurant,Banashankari,"North Indian, Chinese",3.8/5,300
Tandoori Bytes,Kumaraswamy Layout,North Indian,3.6/5,700
Moghul Durbar Restaurant,Jayanagar,"North Indian, BBQ, Kebab, Rolls",4.0/5,550
Biggies Burger 'n' More,BTM,"Cafe, Burger, Fast Food",3.8/5,400
Havmor,Basavanagudi,"Ice Cream, Desserts",3.9/5,200
Khana Khazana,Bannerghatta Road,North Indian,3.7/5,400
The Pizzeria,Banashankari,"Pizza, Italian, Salad",2.8/5,800
Aalishan Restaurant & Caterer,Koramangala 7th Block,"North Indian, Mughlai",3.5/5,650
Karavali Family Restaurant,Jayanagar,"Seafood, Biryani, South Indian, North Indian, Chinese",3.5/5,500
Garden Fresh,BTM,"Healthy Food, Juices",3.9/5,200
Little Cafe,Basavanagudi,"Cafe, Beverages",3.7/5,600
Aami Bangali,Koramangala 5th Block,Bengali,3.6/5,700
Trippy Paradise,BTM,Cafe,2.6/5,900
Tempteys,BTM,Beverages,4.2/5,500
The Arabian Nights,BTM,"Arabian, North Indian, Chinese",2.6/5,300
Bangarpet Chat Express,Basavanagudi,"Street Food, Fast Food",3.3/5,100
Salut,Jayanagar,"Continental, Finger Food, Seafood, Pizza",4.1/5,"1,200"
Angel Restaurant,Bannerghatta Road,"Kerala, South Indian, North Indian",2.8/5,450
Bangaliana,Koramangala 7th Block,Bengali,3.9/5,600
Ghee Biryani House,BTM,"North Indian, Biryani, Chinese, Arabian",3.1/5,400
The London Shakes,BTM,"Beverages, Fast Food, Italian",NEW,400
Aadhya Hotel,Basavanagudi,"South Indian, North Indian, Chinese, Biryani",3.3/5,800
Desipun,Koramangala 5th Block,North Indian,4.2/5,700
Sri Krishna Sweets,Basavanagudi,Mithai,3.7/5,250
Thyme & Whisk,Jayanagar,"Asian, Chinese, Continental, Italian",3.9/5,800
City Cafe,JP Nagar,"Beverages, Juices, Fast Food, Rolls",3.3/5,200
Snack Knack,BTM,"North Indian, Chinese",3.0/5,200
Sri Nandi Grand,BTM,"North Indian, South Indian",3.4/5,300
Shake It Off,Jayanagar,"Beverages, Fast Food",4.4/5,600
Xpress Chai,BTM,Tea,3.7/5,150
Cafe Ajfan,Jayanagar,"Cafe, Continental, Beverages",4.2/5,700
Dessi Cuppa,BTM,"Beverages, Fast Food",3.4/5,300
Kettle & Kegs,Banashankari,"Tea, Beverages",3.2/5,200
Fillers,BTM,"North Indian, Fast Food",3.9/5,300
Thanco's Natural Ice Cream,BTM,"Ice Cream, Desserts",3.6/5,450
The Foodyz,JP Nagar,"North Indian, Chinese",3.7/5,500
Curry Leaves,Basavanagudi,"Andhra, North Indian, Chinese",4.1/5,800
I Cool,JP Nagar,"Juices, Fast Food",4.0/5,150
Udupi Thaja Thindi,BTM,"North Indian, South Indian, Chinese, Fast Food",2.9/5,250
Paratha Plaza,JP Nagar,North Indian,3.8/5,250
Miss Momo,BTM,"Tibetan, Momos",3.2/5,250
Cane-O-La,Basavanagudi,Juices,3.8/5,100
Kailash Parbat,Jayanagar,"South Indian, Chinese, North Indian",3.9/5,"1,200"
Ruchis Point,Banashankari,"Fast Food, Chinese",3.8/5,200
Funky Punjab,JP Nagar,"North Indian, Chinese",3.9/5,500
Mudpipe Cafe,BTM,"Cafe, Continental, Burger",4.5/5,900
Alif Restaurant,JP Nagar,"North Indian, Chinese",3.6/5,600
Black Deer,Koramangala 5th Block,"Beverages, Desserts",4.4/5,350
Supreme Biryani,South Bangalore,Biryani,,400
Chai Kraft,Jayanagar,"Beverages, Tea",4.1/5,100
Lassi Shop,JP Nagar,"Ice Cream, Beverages",,80
Crawl Street,Koramangala 5th Block,"Continental, Finger Food, North Indian, Chinese",4.3/5,"1,200"
Enerjuvate Studio & Cafe,Jayanagar,"Cafe, Continental, Beverages, Healthy Food, Desserts, Sandwich, Pizza, Salad",4.2/5,800
Fava Bistro,Koramangala 5th Block,"Mediterranean, Pizza, Italian, Beverages",4.4/5,"1,500"
Chaska Bun,Koramangala 5th Block,Fast Food,4.2/5,300
Udupi Grand,Basavanagudi,"South Indian, North Indian, Chinese",3.8/5,300
Dwaraka Grand,Kumaraswamy Layout,"South Indian, Chinese, Street Food, Juices",3.9/5,500
Y Not Restaurant,JP Nagar,Fast Food,3.0/5,300
The Krishna Grand Xpress,Jayanagar,"South Indian, Fast Food",4.0/5,350
Tunday Kababi,Koramangala 5th Block,"North Indian, Kebab",3.9/5,500
The Marash,Koramangala 5th Block,"Turkish, Desserts",4.3/5,250
Karachi Bakery,Koramangala 5th Block,"Bakery, Desserts",3.3/5,400
On The Nose,BTM,"Cafe, Italian, Mexican, Chinese",3.8/5,600
City Durbar,Jayanagar,"North Indian, Chinese, Biryani",3.7/5,450
World of Waffles,JP Nagar,Desserts,3.9/5,400
Punjab Bistro,Koramangala 7th Block,North Indian,4.4/5,"1,500"
Ilyazsab Shawarma Cafe,Jayanagar,"Fast Food, Rolls",NEW,300
Woodee Pizza,JP Nagar,"Cafe, Pizza, Fast Food, Beverages",2.7/5,500
Sagar Fast Food,Koramangala 3rd Block,"South Indian, North Indian, Fast Food",4.0/5,300
Just Bunny,Jayanagar,Fast Food,3.5/5,200
Chinese House,Jayanagar,"Chinese, Thai, Momos",2.8/5,300
Ragoo's,Jayanagar,"Italian, Pizza, North Indian, Salad",3.9/5,800
Desi Dhaba,BTM,"North Indian, Chinese",3.3/5,400
KKR Foodies,BTM,"Biryani, Chinese, Fast Food, North Indian",3.7/5,400
Udupi Upachar,JP Nagar,"South Indian, North Indian, Chinese, Street Food",3.3/5,300
Me And My Cake,JP Nagar,"Bakery, Desserts",3.1/5,500
Eat & Joy Restaurant,JP Nagar,"Fast Food, Finger Food",3.1/5,300
World In A Bowl,Koramangala 7th Block,"Continental, North Indian, Desserts, Beverages",3.6/5,600
Drunkling - Sizzlers and Pub,Koramangala 5th Block,"Chinese, Continental, North Indian, Burger, Pizza, Seafood",4.4/5,"1,000"
Body Temple,BTM,Healthy Food,3.3/5,500
Samosa Express,BTM,Street Food,3.1/5,150
Udupi Sri Krishna Cafe,Jayanagar,"North Indian, South Indian",3.9/5,600
InnerChef,Koramangala 7th Block,"North Indian, Continental",3.9/5,500
Maria's Goan Kitchen,Koramangala 7th Block,"Goan, Chinese, Biryani",3.9/5,750
The Chaat Shop,Basavanagudi,Fast Food,2.5/5,200
Only Sharjah,BTM,Beverages,NEW,200
J K Fish Land,Jayanagar,"Seafood, Mangalorean",3.6/5,300
Shri Vinayaka Ice N Juice,Basavanagudi,"Beverages, Fast Food",3.1/5,150
Vinaya Cafe,JP Nagar,"South Indian, Street Food, Juices",3.7/5,200
Cakes & Candles,Koramangala 5th Block,"Bakery, Desserts",3.1/5,300
Prawn Crunch,BTM,"Fast Food, Seafood",3.2/5,400
Cafe Cosy,Jayanagar,"Cafe, Chinese, Continental, Fast Food",4.1/5,800
Taste Of Kolkata,BTM,"Bengali, Chinese, Rolls",3.1/5,400
Watson's,JP Nagar,"Finger Food, Chinese, Continental",4.0/5,"1,300"
Kirthi's Biryani,Banashankari,"Chinese, Cafe, Italian",3.8/5,700
Indori Chatorey,BTM,"North Indian, Street Food",2.8/5,300
Brew Meister,Jayanagar,"North Indian, Continental, Finger Food, American, Asian",4.1/5,"1,500"
Drunken Monkey,BTM,"Beverages, Fast Food",4.2/5,400
Call A Cake,BTM,Bakery,3.6/5,500
The Chai Stop,Koramangala 5th Block,"Fast Food, Tea",NEW,200
Healthy Bakes 'n' Brew,Jayanagar,Bakery,,150
Maa Durga Fast Food,Koramangala 8th Block,"North Indian, Fast Food",3.6/5,300
Yummy Biryani,Koramangala 7th Block,Biryani,3.8/5,200
Shanthi Sagar,Koramangala 6th Block,South Indian,3.1/5,250
Bombay Kulfi,Jayanagar,"Desserts, Ice Cream",3.8/5,150
Graffitea,BTM,"Beverages, Fast Food",3.7/5,200
Begin with us....Tea Time Cafe,Koramangala 7th Block,"Beverages, Tea",3.8/5,300
Cafe Mondo,Basavanagudi,"Cafe, Italian, Beverages",3.7/5,600
Mockaholic Restro Beer Cafe,JP Nagar,"North Indian, Chinese, Pizza, BBQ",3.9/5,"1,000"
SGS Non Veg - Gundu Pulav,Jayanagar,"Biryani, Fast Food",3.6/5,400
Panther Cafe,BTM,Beverages,3.5/5,200
Crafted Plate,JP Nagar,"Cafe, Asian, Burger, Continental, Italian, Salad",4.2/5,600
3 Spice,Wilson Garden,"North Indian, Chinese",3.9/5,450
Donne Biriyani House,Jayanagar,"Biryani, Andhra, Kebab",3.5/5,400
Calorie Express,BTM,Healthy Food,3.6/5,450
Smoke - The Sizzler House,Koramangala 7th Block,"Continental, Chinese, Thai, Italian, BBQ, Steak",4.0/5,"1,100"
Paratha Junction,Jayanagar,"North Indian, Chinese",3.3/5,300
Ruh's Cafe,BTM,"Cafe, American, Italian, Continental, Chinese",4.1/5,500
YumYumSouth,Koramangala 7th Block,South Indian,3.5/5,600
Ammus Hot N Cool,BTM,"North Indian, Chinese",3.4/5,300
Vyanjan,BTM,"North Indian, Street Food",3.9/5,300
Brew Point,JP Nagar,"Cafe, American, Burger, Sandwich, Fast Food",3.6/5,500
Hang10 Resto N Cafe,BTM,"Cafe, North Indian, Chinese",3.8/5,700
Mr. Beans - Home Cafe,Koramangala 3rd Block,"Cafe, Continental, Italian",4.2/5,"1,000"
Waffle-A-Go Go,Banashankari,"Fast Food, Desserts, Ice Cream",3.9/5,400
Mug N Bean,Jayanagar,"Cafe, Continental, Italian, Burger",3.9/5,400
Jalaram Sweets,Jayanagar,"Desserts, Mithai",3.8/5,250
Sri Sankara Cafe,BTM,South Indian,3.6/5,100
Chung Wah Opus,JP Nagar,"Chinese, Thai",3.0/5,650
Cafe Medley,Koramangala 5th Block,"Cafe, Continental, Burger",4.2/5,800
Marenahalli Donne Biriyani,JP Nagar,"Biryani, Fast Food",3.9/5,300
Bakers77,Jayanagar,"Bakery, Fast Food",4.0/5,400
Chai Culture,Jayanagar,Beverages,3.6/5,200
Sonar Bangala,Koramangala 5th Block,"Bengali, North Indian",3.8/5,500
Kulkarni's New Uttara Karnataka Food Speciality Stores,JP Nagar,South Indian,3.4/5,250
Biryani Magic,BTM,"North Indian, Biryani",3.5/5,300
Foody's Lane,Koramangala 4th Block,"North Indian, Chinese",,450
In Time Cane Juice,Kumaraswamy Layout,"Juices, Beverages",3.5/5,100
Petoo,BTM,"North Indian, Fast Food, Beverages",4.0/5,400
Chatter Platter,BTM,"Street Food, North Indian",3.4/5,300
Chilld Monk,BTM,"Desserts, Ice Cream",3.5/5,250
The Hungers Zone,BTM,"Fast Food, Italian, Pizza",3.8/5,300
Pappu Da Dhaba,Jayanagar,"North Indian, Fast Food, Beverages, Momos",3.0/5,400
The Ganache Factory,Jayanagar,"Desserts, Bakery",4.2/5,400
24/7 Food Service,JP Nagar,"South Indian, North Indian, Fast Food",3.0/5,300
360 Atoms Restaurant And Cafe,Banashankari,"Cafe, Chinese, Continental, Italian",3.1/5,400
Bathinda Junction,Koramangala 5th Block,North Indian,4.1/5,600
Paratha Merchant,Kumaraswamy Layout,North Indian,3.1/5,300
Black Cup Cafe,BTM,"Cafe, Fast Food, Beverages",3.7/5,400
Hyderabad Express,Banashankari,"Hyderabadi, Biryani",NEW,300
Caffe Pascucci,JP Nagar,"Continental, Italian, Beverages",4.0/5,"1,300"
Namma Banashankari Donne Biryani,JP Nagar,"Biryani, Kebab",4.0/5,250
Dilli in a Box,Koramangala 7th Block,"Fast Food, North Indian",3.7/5,400
Pop Hop,Jayanagar,"Ice Cream, Desserts",4.1/5,300
Hunger2Eat,BTM,"Biryani, Fast Food, North Indian",3.7/5,400
Chillout,BTM,"Burger, Cafe, Pizza, Fast Food",,200
High n Hungry,BTM,"North Indian, South Indian, Chinese, Fast Food",2.9/5,700
Sri Yaksha Shiv Sagar,Banashankari,"North Indian, Chinese",3.6/5,600
Meghana Foods,Koramangala 5th Block,"Biryani, Seafood, Andhra, North Indian",4.4/5,600
Milk N Shakes,Koramangala 8th Block,Beverages,3.7/5,300
Narayany Pure Veg,JP Nagar,"Street Food, North Indian",,250
INDULGE by InnerChef,Koramangala 7th Block,"Desserts, Bakery",3.5/5,400
Aramane Donne Briyani,JP Nagar,"Biryani, Fast Food",3.9/5,300
Litti Twist,BTM,"North Indian, Bihari",4.2/5,300
Nandhi Andhra Style Family Restaurant,Jayanagar,"Seafood, Biryani, South Indian, North Indian, Chinese, Kebab",3.4/5,400
Smoothie Hub,BTM,"Beverages, Sandwich",3.1/5,100
Andhra Kitchen,BTM,"Andhra, Biryani",4.0/5,400
New Udupi Upahar,Jayanagar,"South Indian, North Indian",3.5/5,300
Pizza Paradise,JP Nagar,Pizza,3.6/5,500
Mahek Pizza,JP Nagar,Pizza,3.9/5,400
Tandoor Merchant,BTM,"North Indian, Chinese, Fast Food",3.4/5,500
Ramji Chaiwale,Jayanagar,"Beverages, Fast Food",3.6/5,250
Taj Darbar,Koramangala 5th Block,"Biryani, Mughlai, Chinese",3.8/5,600
The Monalisa Restaurant,Koramangala 5th Block,Chinese,3.3/5,300
Tangra Indo - Chinese Cuisine,Jayanagar,"Chinese, Thai",3.6/5,400
1441 Pizzeria,JP Nagar,"Pizza, Salad",4.1/5,800
New Chickpete Donne Biryani,Basavanagudi,Biryani,3.5/5,250
The Airos,Jayanagar,"Cafe, Italian, Pizza",4.1/5,650
Refills Eatery And Beverages,BTM,"North Indian, South Indian, Chinese",3.8/5,450
Mr. Parathewala,Jayanagar,North Indian,,300
Just Chill,BTM,Beverages,3.4/5,250
Woody's,JP Nagar,"Chinese, South Indian, North Indian",2.6/5,650
Momo Jojo,BTM,"Chinese, Tibetan, Momos",3.4/5,300
Cafe D'hide,Koramangala 5th Block,"Cafe, American, Continental, Italian",4.2/5,600
Sea Spice by 7 Star,Banashankari,"Seafood, Biryani, Beverages, South Indian, North Indian, Kebab",4.0/5,"1,200"
Rasoi,Banashankari,"North Indian, Chinese",3.3/5,300
Andhra Bhojanam,BTM,"Andhra, Biryani, North Indian",3.2/5,600
Maiyas,Jayanagar,"North Indian, South Indian, Fast Food, Juices",4.0/5,200
Mirch Masala,JP Nagar,North Indian,3.4/5,500
Meenu Oota Da Maane,Koramangala 5th Block,"Seafood, Mangalorean, Chinese",4.2/5,800
Potato Bae,Koramangala 5th Block,Fast Food,4.1/5,500
Mumbai Badam Milk & Lassi Center,Basavanagudi,"Beverages, Desserts",3.6/5,100
Alankrutha,BTM,"Andhra, Biryani, North Indian, Chinese",3.9/5,500
South Point Pub,Basavanagudi,"North Indian, Seafood, Chinese",3.4/5,800
Cookie Man,Bannerghatta Road,Bakery,NEW,150
New Mogul Empire,JP Nagar,"North Indian, Chinese",3.3/5,300
Gokul Veg,Basavanagudi,"North Indian, Chinese, Beverages",3.8/5,750
AM WOW,Jayanagar,Beverages,3.4/5,100
China Bowl,Koramangala 6th Block,Chinese,3.9/5,"1,000"
Bawarchi Biryani,Koramangala 6th Block,"Biryani, South Indian",3.4/5,350
Hotel Smile,Jayanagar,"North Indian, Chinese",3.1/5,550
Tangerine - Davanam Sarovar Portico Suites,Koramangala 2nd Block,"Continental, Italian, North Indian, Asian, Bakery, Chinese, European, Japanese",4.0/5,"1,100"
Mountain Spice,Koramangala 8th Block,"Chinese, Nepalese, Tibetan, Momos",3.9/5,400
David's Kitchen,BTM,"North Indian, South Indian, Chinese",3.6/5,200
Prems Graama Bhojanam,Jayanagar,South Indian,4.3/5,400
Sai Mango Tree,BTM,"Biryani, Hyderabadi, Chinese",3.6/5,500
Fudge,Jayanagar,"Desserts, Momos",3.2/5,200
Nandanam Family Restaurant,BTM,"Kerala, Chinese, South Indian",3.6/5,350
Mumbai Kulfi,JP Nagar,"Desserts, Ice Cream",,200
Taste Of Malabar,BTM,"South Indian, Kerala, Chinese",3.6/5,350
Mishra's Pedha Big Foods,Jayanagar,"Desserts, Mithai",3.9/5,200
La Casa,Jayanagar,"Continental, Italian, Chinese, North Indian",3.6/5,800
Chaitanya Cafe,JP Nagar,"South Indian, North Indian, Fast Food",3.9/5,300
Calicut Durbar,Koramangala 7th Block,"Arabian, North Indian",3.9/5,500
Navya Foods,HSR,"North Indian, Fast Food",3.4/5,300
Mayur,Hosur Road,"Andhra, North Indian, Chinese, Seafood",3.7/5,700
HOTEL VKM,BTM,South Indian,,300
Szechuan Dragon,Banashankari,"Chinese, Thai, Momos",4.2/5,600
Cafe Vivacity,Banashankari,Cafe,3.8/5,650
Eat Repeat Express,JP Nagar,"North Indian, South Indian, Chinese, Biryani, Mexican",3.2/5,700
Seasons,Bannerghatta Road,"North Indian, South Indian, Chinese, Seafood, Kerala, Arabian, Juices",3.8/5,
Iceberg Icecreams,Basavanagudi,"Desserts, Ice Cream",4.0/5,250
Mecaf Family Restaurant,BTM,"North Indian, Chinese, Fast Food, Rolls, Beverages",3.9/5,600
By 2 Coffee,Basavanagudi,South Indian,4.3/5,100
Juice 99,BTM,Beverages,3.5/5,150
Fiero! Pizzeria,Koramangala 6th Block,"Italian, Fast Food, Pizza",4.0/5,400
Aramane Donne Biriyani,BTM,"Biryani, Fast Food",3.9/5,300
Chocoberry,Jayanagar,"Ice Cream, Desserts, Beverages",3.5/5,400
Little Lucknow,Koramangala 5th Block,"Mughlai, North Indian",4.0/5,800
Omleterian,BTM,"American, Continental",,200
Java City,Jayanagar,"Cafe, American, Pizza",2.5/5,450
Khan's Biryani,BTM,"Biryani, North Indian",3.0/5,300
Zaitoon Lassi Cafe,BTM,"Cafe, Burger, Sandwich, Beverages",,150
Laziz Pizza,Koramangala 7th Block,"Fast Food, Burger, Pizza",3.8/5,400
Coffee Tindi,Banashankari,"Cafe, South Indian",3.8/5,200
Quench The Juice Lounge,Jayanagar,"Beverages, Juices, Ice Cream",3.6/5,150
New South Corner,BTM,"South Indian, North Indian, Chinese",3.7/5,300
Cafe Noir,Koramangala 7th Block,"European, French, Salad",,"1,500"
Euki,Jayanagar,"Italian, Mexican",4.1/5,900
Chicken Man,JP Nagar,"Roast Chicken, Burger",3.8/5,400
Sharma Ji Chaats And Desi khana,Jayanagar,"North Indian, Street Food",NEW,200
The Grillo,Jayanagar,"North Indian, Mughlai, Chinese, South Indian, Mangalorean",2.8/5,700
PK Dhaba,Marathahalli,"North Indian, Fast Food, Beverages",NEW,250
Mini Punjabi Dhaba,Banashankari,North Indian,4.2/5,350
SSV Upahar,Jayanagar,"South Indian, Chinese",,300
Kalpavriksha Upahara,Jayanagar,"South Indian, North Indian, Chinese",3.9/5,400
Daawat Restaurant Bar & Pub,Koramangala 7th Block,"Finger Food, North Indian, Seafood, Mangalorean, Chinese",3.5/5,700
Bistro Oui,Koramangala 5th Block,"Cafe, Continental, Salad, Steak",4.1/5,"1,200"
Churchill's,JP Nagar,"North Indian, Continental",4.1/5,"1,100"
The Jade Kitchen,JP Nagar,"Chinese, Thai",4.0/5,600
Anand Donne Biriyani,Jayanagar,Biryani,3.7/5,200
Andhra Ruchulu,JP Nagar,"Andhra, North Indian",4.2/5,800
Shree Udupi Grand,Jayanagar,"South Indian, North Indian, Chinese",3.8/5,600
BelgYum,Koramangala 7th Block,Desserts,4.0/5,400
Juice Junction,JP Nagar,"Juices, Fast Food",2.8/5,150
Burger Lounge,Koramangala 5th Block,"Burger, Fast Food, Beverages",3.6/5,600
Vidya Cafe,JP Nagar,"Burger, Fast Food, Desserts, Sandwich",3.2/5,300
Mani's Dum Biryani,Koramangala 5th Block,"Biryani, Kebab",3.9/5,750
Davanagere Benne Dose Hut,Banashankari,South Indian,3.4/5,100
Rajanna Military Hotel,Jayanagar,"Biryani, Fast Food",4.1/5,400
PHEW (Play Hard Eat Wild),BTM,"Continental, Lebanese, Middle Eastern, North Indian, Chinese, BBQ, Cafe",3.9/5,700
Uday Sweets,Koramangala 5th Block,"Mithai, Fast Food",3.8/5,250
New Royal Treat,Bannerghatta Road,"North Indian, Chinese",2.8/5,350
Hum Biryani,BTM,"Biryani, North Indian",3.4/5,600
New Punjabi Hotel,BTM,"North Indian, Chinese",3.7/5,400
Taj Durbar,Jayanagar,"North Indian, BBQ",3.8/5,400
TRIGEREATO,Koramangala 8th Block,"Cafe, Continental, Beverages",4.4/5,700
Shuddh Desi Khana,Bannerghatta Road,North Indian,4.1/5,400
Baisakhi,Basavanagudi,North Indian,3.8/5,500
7 Plates,Koramangala 5th Block,"Mughlai, Fast Food",3.7/5,750
Eatery Have U Been,BTM,"Cafe, Chinese, Fast Food, Burger, North Indian",3.4/5,500
Haagen Dazs,Koramangala 7th Block,"Ice Cream, Desserts",3.9/5,800
The Blue Wagon - Kitchen,Jayanagar,"Cafe, Beverages",4.6/5,400
Amritsari Kulcha Land,JP Nagar,North Indian,4.0/5,300
Nammura Donne Biryani,Jayanagar,"Andhra, Biryani",,300
Tasty Jigarthanda,BTM,"Beverages, Ice Cream",3.4/5,150
Ivy,Kumaraswamy Layout,"North Indian, Chinese, Fast Food",3.8/5,600
1947,Jayanagar,"North Indian, Chinese",4.1/5,950
Sri Krishna Darshini,Basavanagudi,"South Indian, North Indian, Chinese",3.1/5,200
Biriyani Bhatti,BTM,"Chinese, Hyderabadi, North Indian",3.7/5,400
Lot Like Crepes,Koramangala 7th Block,"Cafe, Desserts, Continental",4.6/5,550
Chefie,BTM,"Continental, Fast Food, Italian, North Indian",3.5/5,200
New Friends,BTM,"North Indian, Continental, Chinese, Steak",3.8/5,900
Flavour of Himalaya,Koramangala 5th Block,Asian,3.7/5,500
Funky Punjab,BTM,"North Indian, Chinese",3.8/5,400
Harry's Bar + Cafe,Koramangala 7th Block,"Asian, American, Mexican",4.2/5,"1,400"
Funky Punjab,BTM,"North Indian, Chinese",3.8/5,400
Gyani Da Punjabi Dhaba,BTM,"North Indian, Chinese",3.9/5,500
Favourite Restaurant,JP Nagar,Fast Food,,300
Gowdru Mane Oota,JP Nagar,"South Indian, Andhra",3.7/5,400
Kinpeetos,Koramangala 5th Block,"Lebanese, Greek",3.9/5,300
Bhaijaan Barbeques,South Bangalore,"Mughlai, Arabian, BBQ",3.5/5,200
Hotel Parampare,Koramangala 7th Block,"North Indian, Mughlai, Biryani",2.9/5,600
Rajastani Rasoi,Basavanagudi,North Indian,3.2/5,100
Hyderabad Biryaani House,Koramangala 5th Block,"Biryani, North Indian, Chinese, Hyderabadi",4.1/5,750
Yummerica Fries,BTM,"Fast Food, Beverages",3.3/5,
Cakeport,Bannerghatta Road,Bakery,,400
Caramel Shake,BTM,"Beverages, Juices, Ice Cream",NEW,200
FNP Cakes N More,Koramangala 5th Block,Bakery,,700
Birinz,BTM,"Biryani, Chinese, Mughlai, Fast Food, Kebab",4.1/5,700
Sahana's (Nati Style),Wilson Garden,North Indian,3.7/5,350
Srikrishna Bhavan,Banashankari,"South Indian, North Indian, Chinese",3.8/5,300
De Thaali,Jayanagar,"North Indian, Chinese",3.9/5,550
Arya Hungry?,Koramangala 7th Block,North Indian,4.3/5,450
Ice Land,JP Nagar,"Ice Cream, Desserts",3.6/5,300
Freeze It,BTM,Ice Cream,3.6/5,300
Ice Stone Creamery,Jayanagar,"Desserts, Ice Cream",3.7/5,400
D View Cafe,JP Nagar,"Cafe, Italian, Chinese, Beverages",4.0/5,"1,000"
The Chaat Shop,BTM,Street Food,3.2/5,100
Joon Restaurant,BTM,"Arabian, Chinese, North Indian, Kerala, Juices",3.7/5,400
Ross Kitchen,BTM,Chinese,3.6/5,400
The Trundle,Jayanagar,"Chinese, Thai, Continental, North Indian",3.7/5,700
UBQ By Barbeque Nation,JP Nagar,"North Indian, BBQ, Biryani, Kebab",3.5/5,450
